AREA,MAJORAXIS,MINORAXIS,ECCENTRICITY,EQDIASQ,PERIMETER,SOLIDITY,ROUNDNESS,SHAPEFACTOR,COMPACTNESS,EXTENT
162,105.7051773071289,43.77363586425781,0.9609313607215881,206.26480102539062,194.79405212402344,0.08161208778619766,0.018460039049386978,0.05365046486258507,0.13586772978305817,0.04305075854063034
151,99.06012725830078,36.88478469848633,0.9129629731178284,192.25917053222656,182.89453125,0.09373059868812561,0.019592473283410072,0.05672641843557358,0.13997311890125275,0.04522312059998512
177,104.17369079589844,49.647430419921875,1.2751197814941406,225.36338806152344,202.50975036621094,0.07944344729185104,0.020766690373420715,0.05423644930124283,0.14410652220249176,0.05329719930887222
191,105.15852355957031,40.51045227050781,-1.472301721572876,243.18873596191406,201.63966369628906,0.09860609471797943,0.021991482004523277,0.059032514691352844,0.14829525351524353,0.07403101027011871
174,102.00399017333984,42.274391174316406,1.3192335367202759,221.54367065429688,194.12496948242188,0.0921122282743454,0.021292420104146004,0.05802248418331146,0.14591923356056213,0.06509539484977722
184,103.11689758300781,48.3453254699707,-0.1862735152244568,234.27606201171875,195.5391845703125,0.08666981011629105,0.022032728418707848,0.060472797602415085,0.14843425154685974,0.0657142847776413
181,108.97366333007812,50.82100296020508,0.4124733805656433,230.4563446044922,206.99502563476562,0.07633909583091736,0.019406426697969437,0.053084611892700195,0.1393069475889206,0.04965706542134285
189,112.13526153564453,43.90944290161133,0.3092392086982727,240.6422576904297,212.02444458007812,0.08815298229455948,0.019137604162096977,0.052832335233688354,0.13833871483802795,0.057168785482645035
189,107.68496704101562,45.89164733886719,0.059706468135118484,240.6422576904297,205.63966369628906,0.08774372935295105,0.020752087235450745,0.056163981556892395,0.14405584335327148,0.07007786631584167
192,109.87632751464844,44.32799530029297,-1.456794261932373,244.46197509765625,209.0538787841797,0.0895940288901329,0.020248975604772568,0.055207062512636185,0.14229890704154968,0.06959043443202972
171,98.47339630126953,43.42418670654297,1.406477689743042,217.7239532470703,188.46807861328125,0.09298531711101532,0.022452691569924355,0.06049652025103569,0.14984221756458282,0.06982441991567612
173,116.37187957763672,43.4200325012207,0.8404780030250549,220.2704315185547,211.1788330078125,0.07972349971532822,0.016265226528048515,0.048747818917036057,0.12753519415855408,0.03748645633459091
166,93.20106506347656,40.147003173828125,-1.1023505926132202,211.35775756835938,176.75238037109375,0.10196559876203537,0.024331923574209213,0.06677092611789703,0.1559869349002838,0.0576188825070858
165,106.2770004272461,44.134647369384766,0.5863890647888184,210.0845184326172,197.7229461669922,0.08233533054590225,0.018600108101963997,0.05303708836436272,0.13638220727443695,0.04407051205635071
182,101.09033203125,44.26597595214844,-0.46326398849487305,231.72958374023438,193.23768615722656,0.0939597338438034,0.022675782442092896,0.06124879792332649,0.15058480203151703,0.05346651002764702
155,87.11144256591797,33.460792541503906,1.5573810338974,197.3521270751953,165.01222229003906,0.11886502802371979,0.026007069274783134,0.07153347879648209,0.16126707196235657,0.09923175722360611
190,100.51644134521484,38.0343132019043,-0.6276289224624634,241.91549682617188,191.8651123046875,0.11085180938243866,0.023943603038787842,0.06485917419195175,0.1547372043132782,0.04989495873451233
171,98.10428619384766,38.615901947021484,-1.407687783241272,217.7239532470703,184.56858825683594,0.1023952066898346,0.022621961310505867,0.06307981163263321,0.15040598809719086,0.0782967060804367
165,99.50102233886719,44.19560623168945,1.1640411615371704,210.0845184326172,188.0244598388672,0.08739406615495682,0.021219687536358833,0.05864960327744484,0.14566978812217712,0.05717255547642708
177,104.12957000732422,40.94204330444336,-0.3112514317035675,225.36338806152344,198.0244598388672,0.0936012715101242,0.0207842905074358,0.05672120302915573,0.14416758716106415,0.059059057384729385
158,105.51139831542969,36.37350845336914,0.6322842240333557,201.17184448242188,192.79403686523438,0.09283196181058884,0.01807042770087719,0.053417034447193146,0.1344262957572937,0.042404722422361374
183,107.49146270751953,49.148014068603516,1.290069341659546,233.00282287597656,208.26712036132812,0.08005249500274658,0.02016569674015045,0.05301753059029579,0.14200598001480103,0.05446428433060646
196,110.68721771240234,44.65472412109375,-0.4566882848739624,249.55494689941406,210.3087615966797,0.08982584625482559,0.020369071513414383,0.05568666383624077,0.14272025227546692,0.04938271641731262
159,102.6412124633789,47.3835334777832,0.9987908005714417,202.44508361816406,191.72296142578125,0.07752315700054169,0.019216030836105347,0.05435740575194359,0.13862189650535583,0.04506802558898926
